reactants,products,A,alpha,neg_Ea_R,water_or_pressure_dependent
Br + Cl2O2,BrCl + Cl + O2,5.90E-12,0,170,
Br + HCHO,HBr + CO + HO2,1.70E-11,0,800,
Br + HO2,HBr + O2,4.80E-12,0,310,
Br + O3,BrO + O2,1.60E-11,0,780,
Br + OClO,BrO + ClO,2.60E-11,0,1300,
BrO + BrO,Br + Br + O2,2.40E-12,0,-40,
BrO + ClO,Br + Cl + O2,2.30E-12,0,-260,
BrO + ClO,Br + OClO,9.50E-13,0,-550,
BrO + ClO,BrCl + O2,4.10E-13,0,-290,
BrO + HO2,HOBr + O2,4.50E-12,0,-460,
BrO + NO,Br + NO2,8.80E-12,0,-260,
BrO + OH,Br + HO2,1.70E-11,0,-250,
CF2Cl2 + O(1D),Cl + ClO,1.40E-10,0,0,
CFCl3 + O(1D),Cl + Cl + ClO,2.30E-10,0,0,
Cl + CH4,HCl + MeOO,7.30E-12,0,1280,
Cl + Cl2O2,Cl + Cl + Cl,7.60E-11,0,-65,
Cl + ClONO2,Cl + Cl + NO3,6.50E-12,0,-135,
Cl + H2,HCl + H,3.05E-11,0,2270,
Cl + H2O2,HCl + HO2,1.10E-11,0,980,
Cl + HCHO,HCl + CO + HO2,8.10E-11,0,30,
Cl + HO2,ClO + OH,3.65E-11,0,375,
Cl + HO2,HCl + O2,1.40E-11,0,-270,
Cl + HOCl,Cl + Cl + OH,3.40E-12,0,130,
Cl + NO3,ClO + NO2,2.40E-11,0,0,
Cl + O3,ClO + O2,2.30E-11,0,200,
Cl + OClO,ClO + ClO,3.40E-11,0,-160,
Cl + MeOOH,HCl + MeOO,5.70E-11,0,0,
ClO + ClO,Cl + Cl + O2,1.00E-12,0,1590,
ClO + ClO,Cl + Cl + O2,3.00E-11,0,2450,
ClO + ClO,Cl + OClO,3.50E-13,0,1370,
ClO + HO2,HOCl + O2,2.60E-12,0,-290,
ClO + MeOO,Cl + HCHO + HO2,3.30E-12,0,115,
ClO + NO,Cl + NO2,6.40E-12,0,-290,
ClO + NO3,Cl + O2 + NO2,4.60E-13,0,0,
EtCO3 + NO,EtOO + CO2 + NO2,6.70E-12,0,-340,
EtCO3 + NO3,EtOO + CO2 + NO2,4.00E-12,0,0,
EtOO + MeCO3,MeCHO + HO2 + MeOO,4.40E-13,0,-1070,
EtOO + NO,MeCHO + HO2 + NO2,2.55E-12,0,-380,
EtOO + NO3,MeCHO + HO2 + NO2,2.30E-12,0,0,
H + HO2,H2 + O2,6.90E-12,0,0,
H + HO2,O(3P) + H2O,1.62E-12,0,0,
H + HO2,OH + OH,7.20E-11,0,0,
H + NO2,OH + NO,4.00E-10,0,340,
H + O3,OH + O2,1.40E-10,0,470,
HO2 + HO2,H2O2,3.00E-13,0,-460,water_dependent
HO2 + MeOO,MeOOH,3.80E-13,0,-780,water_dependent
HO2 + NO,OH + NO2,3.30E-12,0,-270,
HO2 + NO3,OH + NO2 + O2,3.50E-12,0,0,
HO2 + O3,OH + O2 + O2,2.03E-16,4.57,-693,
HO2 + EtCO3,O2 + EtCO3H,4.40E-13,0,-980,
HO2 + EtCO3,O3 + EtCO2H,7.80E-14,0,-980,
HO2 + EtOO,EtOOH,6.40E-13,0,-710,
HO2 + ISO2,ISOOH,2.05E-13,0,-1300,
HO2 + MACRO2,MACROOH,1.82E-13,0,-1300,
HO2 + MeCO3,MeCO2H + O3,7.80E-14,0,-980,
HO2 + MeCO3,MeCO3H,2.13E-13,0,-980,
HO2 + MeCO3,OH + MeOO,2.29E-13,0,-980,
HO2 + MeCOCH2OO,MeCOCH2OOH,9.00E-12,0,0,
HO2 + MeOO,HCHO,3.80E-13,0,-780,water_dependent
HO2 + i-PrOO,i-PrOOH,1.51E-13,0,-1300,
HO2 + n-PrOO,n-PrOOH,1.51E-13,0,-1300,
i-PrOO + NO,Me2CO + HO2 + NO2,2.70E-12,0,-360,
i-PrOO + NO3,Me2CO + HO2 + NO2,2.70E-12,0,-360,
ISO2 + ISO2,MACR + MACR + HCHO + HO2,2.00E-12,0,0,
MACRO2 + MACRO2,HACET + MGLY + 0.5*HCHO + 0.5*CO + HO2,2.00E-12,0,0,
MeBr + Cl,Br + HCl,1.40E-11,0,1030,
MeBr + O(1D),Br + OH,1.80E-10,0,0,
MeBr + OH,Br + H2O,2.35E-12,0,1300,
MeCO3 + NO,MeOO + CO2 + NO2,7.50E-12,0,-290,
MeCO3 + NO3,MeOO + CO2 + NO2,4.00E-12,0,0,
MeCOCH2OO + NO,MeCO3 + HCHO + NO2,2.70E-12,0,-360,
MeCOCH2OO + NO3,MeCO3 + HCHO + NO2,2.30E-12,0,0,
MeOO + NO,HO2 + HCHO + NO2,2.30E-12,0,-360,
MeOO + MeOO,HO2 + HO2 + HCHO + HCHO,1.03E-13,0,-365,
MeOO + MeCO3,HO2 + HCHO + MeOO,1.80E-12,0,-500,
MeOO + MeCO3,MeCO2H + HCHO,2.00E-13,0,-500,
MeOO + MeOO,MeOH + HCHO,1.03E-13,0,-365,
MeOO + NO,MeONO2,2.30E-15,0,-360,
MeOO + NO3,HO2 + HCHO + NO2,1.20E-12,0,0,
N + NO,N2 + O(3P),2.10E-11,0,-100,
N + NO2,N2O + O(3P),5.80E-12,0,-220,
N + O2,NO + O(3P),1.50E-11,0,3600,
n-PrOO + NO,EtCHO + HO2 + NO2,2.90E-12,0,-350,
n-PrOO + NO3,EtCHO + HO2 + NO2,2.70E-12,0,-360,
N2O5 + H2O,HONO2 + HONO2,2.50E-22,0,0,
NO + NO3,NO2 + NO2,1.50E-11,0,-170,
NO + O3,NO2,3.00E-12,0,1500,
NO + ISO2,ISON,1.12E-13,0,-360,
NO + ISO2,NO2 + MACR + HCHO + HO2,2.43E-12,0,-360,
NO + MACRO2,NO2 + 0.25*MeCO3 + 0.25*HACET + 0.25*CO + 0.5*MGLY + 0.75*HCHO + 0.75*HO2,2.54E-12,0,-360,
NO2 + NO3,NO + NO2 + O2,4.50E-14,0,1260,
NO2 + O3,NO3,1.20E-13,0,2450,
NO3 + Br,BrO + NO2,1.60E-11,0,0,
NO3 + HCHO,HONO2 + HO2 + CO,2.00E-12,0,2440,
NO3 + C5H8,ISON,3.15E-12,0,450,
NO3 + EtCHO,HONO2 + EtCO3,6.30E-15,0,0,
NO3 + MGLY,MeCO3 + CO + HONO2,3.36E-12,0,1860,
