reactants,products,Fc,k1_A,k1_alpha,k1_beta,k2_A,k2_alpha,k2_beta
O(3P) + O2,O3,0.00,6.00E-34,-2.5,0,0.00E+00,0,0
O(3P) + NO,NO2,0.60,9.00E-32,-1.5,0,3.00E-11,0,0
O(3P) + NO2,NO3,0.60,2.50E-31,-1.8,0,2.20E-11,-0.7,0
O(1D) + N2,N2O,0.00,2.80E-36,-0.9,0,0.00E+00,0,0
BrO + NO2,BrONO2,0.60,5.20E-31,-3.2,0,6.90E-12,0,0
ClO + ClO,Cl2O2,0.60,1.60E-32,-4.5,0,3.00E-12,-2,0
Cl2O2,ClO + ClO,0.45,3.70E-07,0.0,7690,1.80E+14,0,7690
ClO + NO2,ClONO2,0.60,1.80E-31,-3.4,0,1.50E-11,0,0
H + O2,HO2,0.60,4.40E-32,-1.3,0,7.50E-11,0,0
HO2 + HO2,H2O2 + O2,0.00,2.10E-33,0.0,-920,0.00E+00,0,0
HO2 + NO2,HO2NO2,0.60,2.00E-31,-3.4,0,2.90E-12,0,0
HO2NO2,HO2 + NO2,0.50,4.10E-05,0.0,10650,4.80E+15,0,11170
OH + NO,HONO,0.60,7.00E-31,-2.6,0,3.60E-11,-0.1,0
OH + NO2,HONO2,0.60,1.80E-30,-3.0,0,2.80E-11,0,0
OH + OH,H2O2,0.60,6.90E-31,-1.0,0,2.60E-11,0,0
MeCO3 + NO2,PAN,0.30,2.70E-28,-7.1,0,1.20E-11,-0.9,0
PAN,MeCO3 + NO2,0.30,4.90E-03,0.0,12100,5.40E+16,0,13830
EtCO3 + NO2,PPAN,0.30,2.70E-28,-7.1,0,1.20E-11,-0.9,0
PPAN,EtCO3 + NO2,0.30,4.90E-03,0.0,12100,5.40E+16,0,13830
MACRO2 + NO2,MPAN,0.30,2.70E-28,-7.1,0,1.20E-11,-0.9,0
MPAN,MACRO2 + NO2,0.30,4.90E-03,0.0,12100,5.40E+16,0,13830
NO2 + NO3,N2O5,0.35,3.60E-30,-4.1,0,1.90E-12,0.2,0
N2O5 + M,NO2 + NO3,0.35,1.30E-03,-3.5,11000,9.70E+14,0.1,11080
NO + NO,NO2 + NO2,0.00,3.30E-39,0.0,-530,0.00E+00,0,0
SO2 + OH,SO3 + HO2,0.60,3.00E-31,-3.3,0,1.50E-12,0,0
