species,KH_298K_M_atm-1,neg_dH_R_K,Ka_298K_M,neg_dH_R_dissoc_K
NO3,2.0E+00,2000.0,0.0E+00,0.0
N2O5,2.1E+05,8700.0,2.0E+01,0.0
HO2NO2,1.3E+04,6900.0,1.0E-05,0.0
HONO2,2.1E+05,8700.0,2.0E+01,0.0
HO2,4.0E+03,5900.0,2.0E-05,0.0
H2O2,8.3E+04,7400.0,2.4E-12,-3730.0
HCHO,3.3E+03,6500.0,0.0E+00,0.0
MeOO,2.0E+03,6600.0,0.0E+00,0.0
MeOOH,3.1E+02,5000.0,0.0E+00,0.0
HONO,5.0E+01,4900.0,5.6E-04,-1260.0
EtOOH,3.4E+02,5700.0,0.0E+00,0.0
n-PrOOH,3.4E+02,5700.0,0.0E+00,0.0
i-PrOOH,3.4E+02,5700.0,0.0E+00,0.0
MeCOCH2OOH,3.4E+02,5700.0,0.0E+00,0.0
ISOOH,1.7E+06,9700.0,0.0E+00,0.0
ISON,3.0E+03,7400.0,0.0E+00,0.0
MACROOH,1.7E+06,9700.0,0.0E+00,0.0
HACET,1.4E+02,7200.0,0.0E+00,0.0
MGLY,3.5E+03,7200.0,0.0E+00,0.0
HCOOH,6.9E+03,5600.0,1.8E-04,-1510.0
MeCO3H,7.5E+02,5300.0,6.3E-09,0.0
MeCO2H,4.7E+03,6000.0,1.8E-05,0.0
MeOH,2.3E+02,4900.0,0.0E+00,0.0
