carbon_number,compound,kOH_cm3_molecule-1_s-1,kO3_cm3_molecule-1_s-1,kNO3_cm3_molecule-1_s-1,kCl_cm3_molecule-1_s-1
1,CH4,6.18212e-15,,,1.03474e-13
2,C2H6,2.5381e-13,,,5.88892e-11
3,C3H8,1.12167e-12,,,1.37238e-10
4,NC4H10,2.44139e-12,,,2.18e-10
4,IC4H10,2.19178e-12,,,1.43e-10
5,NC5H12,4.00424e-12,,,2.8e-10
5,IC5H12,3.7e-12,,,2.2e-10
5,NEOP,8.47741e-13,,,1.1e-10
6,NC6H14,5.45096e-12,,,3.4e-10
6,M2PE,5.3e-12,,,2.9e-10
6,M3PE,5.4e-12,,,2.8e-10
6,M22C4,2.34236e-12,,,1.71e-10
6,M23C4,5.77819e-12,,,2.3e-10
7,NC7H16,7.02182e-12,,,3.5e-10
7,M2HEX,6.86e-12,,,3.11e-10
7,M3HEX,7.15e-12,,,4.6e-10
9,NC9H20,9.9896e-12,,,4.8e-10
10,NC10H22,1.12264e-11,,,5.55e-10
11,NC11H24,1.29e-11,,,6.17e-10
12,NC12H26,1.39e-11,,,6.74e-10
6,CHEX,7.21357e-12,,,3.5e-10
2,C2H4,7.96713e-12,1.5883500000000001e-18,2.1e-16,
3,C3H6,2.87001e-11,1.00977e-17,9.4e-15,
4,BUT1ENE,3.13928e-11,9.653760000000001e-18,1.34872e-14,
4,CBUT2ENE,5.63805e-11,1.25063e-16,3.5e-13,
4,TBUT2ENE,6.39546e-11,1.90029e-16,3.9e-13,
4,MEPROPENE,5.1388e-11,1.12965e-17,3.32e-13,
5,PENT1ENE,3.13747e-11,1e-17,1.2e-14,
5,CPENT2ENE,6.54e-11,1.6e-16,3.7e-13,
5,TPENT2ENE,6.69e-11,1.6e-16,3.7e-13,
5,ME2BUT1ENE,6.07e-11,1.6e-17,3.3e-13,
5,ME3BUT1ENE,3.1819e-11,1.1e-17,1.2e-14,
5,ME2BUT2ENE,8.69191e-11,4.03112e-16,9.37e-12,
6,HEX1ENE,3.7e-11,1.1e-17,1.2e-14,
6,CHEX2ENE,6e-11,,,
6,THEX2ENE,6e-11,,,
6,DM23BU2ENE,1.1e-10,,,
4,C4H6,6.6552e-11,7.337090000000001e-18,1.03e-13,
5,C5H8,1.00543e-10,1.28081e-17,6.78357e-13,
10,APINENE,5.32416e-11,8.66026e-17,6.16106e-12,
10,BPINENE,7.88598e-11,1.5e-17,2.51e-12,
2,C2H2,8.12923e-13,,,
6,Benzene,1.22e-12,,,
7,Toluene,5.63e-12,,,
