altitude_km,T_K,P_Pa,M_molecule_cm-3
0.0,288.15,101325.0,2.546916493276921e+19
0.5,284.9,95460.93516978643,2.426889220317169e+19
1.0,281.65,89874.75197692463,2.311237985816672e+19
1.5,278.4,84556.26242809073,2.199850990349121e+19
2.0,275.15,79495.54029235283,2.0926180428645286e+19
2.5,271.9,74682.91731370374,1.9894305559213072e+19
3.0,268.65,70108.97943488714,1.890181540876742e+19
3.5,265.4,65764.56303261648,1.794765603035004e+19
4.0,262.15,61640.75116428687,1.7030789367517956e+19
4.5,258.9,57728.869826284244,1.6150193204947214e+19
5.0,255.64999999999998,54020.48422399678,1.5304861118584326e+19
5.5,252.39999999999998,50507.39505363638,1.4493802425335532e+19
6.0,249.14999999999998,47181.63479598103,1.3716042132283914e+19
6.5,245.89999999999998,44035.46402214972,1.297062088542363e+19
7.0,242.64999999999998,41061.367711525585,1.2256594917900409e+19
7.5,239.39999999999998,38252.05158194522,1.1573035997747175e+19
8.0,236.14999999999998,35600.4384322741,1.0919031375102935e+19
8.5,232.89999999999998,33099.664497491634,1.0293683728902758e+19
9.0,229.64999999999998,30743.07581641228,9.69611111302652e+18
9.5,226.39999999999998,28524.224612171416,9.125446901893011e+18
10.0,223.14999999999998,26436.865685608864,8.580839735486107e+18
10.5,219.89999999999998,24474.952821685234,8.061453463798737e+18
11.0,216.65,22632.06,7.566274788702812e+18
11.5,216.65,20916.21312957437,6.992638587801256e+18
12.0,216.65,19330.452980496662,6.462492545554272e+18
12.5,216.65,17864.917043843303,5.972539460884195e+18
13.0,216.65,16510.49053560269,5.519732109611189e+18
13.5,216.65,15258.749708002117,5.10125429248521e+18
14.0,216.65,14101.909458679544,4.7145033200591e+18
14.5,216.65,13032.77491185964,4.3570738254689193e+18
15.0,216.65,12044.69667039704,4.0267428044463396e+18
15.5,216.65,11131.529460380507,3.721455789520691e+18
16.0,216.65,10287.593911091375,3.4393140724221844e+18
16.5,216.65,9507.64123260979,3.1785628952170854e+18
17.0,216.65,8786.820571383938,2.937580536730529e+18
17.5,216.65,8120.648840732788,2.71486822638086e+18
18.0,216.65,7504.982838645622,2.509040822695399e+18
18.5,216.65,6935.993479467175,2.3188181985333893e+18
19.0,216.65,6410.141979204436,2.1430172794372262e+18
19.5,216.65,5924.157846341503,1.9805446855951096e+18
20.0,216.65,5474.89,1.8303469581611722e+18
20.5,217.15,5060.271535194555,1.68783778644118e+18
