wavelength_nm,cross_section_cm2,source
200.0,6.8e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
202.0,6.16e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
204.0,5.52e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
206.0,4.88e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
208.0,4.25e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
210.0,3.61e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
212.0,3.34e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
214.0,3.07e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
216.0,2.86e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
218.0,2.72e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
220.0,2.58e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
222.0,2.47e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
224.0,2.36e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
226.0,2.26e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
228.0,2.15e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
230.0,2.05e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
232.0,1.93e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
234.0,1.8e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
236.0,1.67e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
238.0,1.53e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
240.0,1.39e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
242.0,1.26e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
244.0,1.13e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
246.0,1.01e-18,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
248.0,9e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
250.0,7.95e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
252.0,7.17e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
254.0,6.4e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
256.0,5.75e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
258.0,5.23e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
260.0,4.71e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
262.0,4.38e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
264.0,4.05e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
266.0,3.79e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
268.0,3.58e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
270.0,3.38e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
272.0,3.25e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
274.0,3.12e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
276.0,3e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
278.0,2.89e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
280.0,2.79e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
282.0,2.7e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
284.0,2.61e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
286.0,2.51e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
288.0,2.42e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
290.0,2.32e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
292.0,2.22e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
294.0,2.12e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
296.0,2.02e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
298.0,1.93e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
300.0,1.84e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
302.0,1.75e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
304.0,1.66e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
306.0,1.58e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
308.0,1.5e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
310.0,1.42e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
312.0,1.35e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
314.0,1.28e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
316.0,1.21e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
318.0,1.16e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
320.0,1.1e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
322.0,1.05e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
324.0,1.01e-19,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
326.0,9.64e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
328.0,9.29e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
330.0,8.94e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
332.0,8.65e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
334.0,8.36e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
336.0,8.1e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
338.0,7.87e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
340.0,7.64e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
342.0,7.45e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
344.0,7.26e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
346.0,7.07e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
348.0,6.86e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
350.0,6.66e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
352.0,6.48e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
354.0,6.3e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
356.0,6.11e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
358.0,5.9e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
360.0,5.69e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
362.0,5.48e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
364.0,5.27e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
366.0,5.07e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
368.0,4.86e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
370.0,4.66e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
372.0,4.46e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
374.0,4.26e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
376.0,4.07e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
378.0,3.88e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
380.0,3.69e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
382.0,3.51e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
384.0,3.32e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
386.0,3.16e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
388.0,3.02e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
390.0,2.88e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
392.0,2.74e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
394.0,2.6e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
396.0,2.47e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
398.0,2.36e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
400.0,2.25e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
402.0,2.15e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
404.0,2.04e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
406.0,1.95e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
408.0,1.88e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
410.0,1.81e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
412.0,1.75e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
414.0,1.69e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
416.0,1.63e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
418.0,1.56e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
420.0,1.5e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
422.0,1.45e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
424.0,1.4e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
426.0,1.36e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
428.0,1.33e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
430.0,1.3e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
432.0,1.26e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
434.0,1.22e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
436.0,1.18e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
438.0,1.15e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
440.0,1.11e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
442.0,1.08e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
444.0,1.05e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
446.0,1.02e-20,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
448.0,9.74e-21,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
450.0,9.3e-21,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
452.0,8.92e-21,BrONO2_JPL-2010(2011)_298K_200-500nm(rec).txt
