wavelength_nm,cross_section_cm2,source
170.0,1.24e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
172.0,1.51e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
174.0,1.68e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
176.0,1.855e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
178.0,1.895e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
180.0,1.79e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
182.0,1.6e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
184.0,1.34e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
186.0,1.07e-18,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
188.0,8.28e-19,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
190.0,6.32e-19,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
192.0,4.55e-19,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
194.0,3.15e-19,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
196.0,2.11e-19,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
198.0,1.39e-19,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
200.0,8.71e-20,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
202.0,5.42e-20,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
204.0,3.37e-20,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
206.0,2.06e-20,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
208.0,1.26e-20,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
210.0,7.62e-21,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
212.0,4.58e-21,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
214.0,2.74e-21,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
216.0,1.63e-21,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
218.0,1.03e-21,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
220.0,6.24e-22,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
222.0,3.81e-22,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
224.0,2.33e-22,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
226.0,1.4e-22,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
228.0,9e-23,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
230.0,5.7e-23,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
232.0,3.4e-23,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
234.0,2.1e-23,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
236.0,1.3e-23,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
238.0,8e-24,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
240.0,5e-24,CF2Cl2(CFC-12)_JPL-2015(2015)_298K_170-240nm(rec).txt
