wavelength_nm,cross_section_cm2,source
196.0,3.1e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
198.0,2.94e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
200.0,2.82e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
202.0,2.77e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
204.0,2.8e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
206.0,2.88e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
208.0,3e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
210.0,3.14e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
212.0,3.29e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
214.0,3.39e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
216.0,3.45e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
218.0,3.41e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
220.0,3.32e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
222.0,3.14e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
224.0,2.91e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
226.0,2.64e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
228.0,2.35e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
230.0,2.08e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
232.0,1.82e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
234.0,1.58e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
236.0,1.38e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
238.0,1.2e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
240.0,1.05e-18,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
242.0,9.19e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
244.0,8.12e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
246.0,7.16e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
248.0,6.24e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
250.0,5.6e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
252.0,5.02e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
254.0,4.53e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
256.0,4.1e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
258.0,3.72e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
260.0,3.38e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
262.0,3.06e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
264.0,2.78e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
266.0,2.52e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
268.0,2.27e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
270.0,2.05e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
272.0,1.85e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
274.0,1.66e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
276.0,1.49e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
278.0,1.33e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
280.0,1.19e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
282.0,1.05e-19,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
284.0,9.35e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
286.0,8.26e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
288.0,7.24e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
290.0,6.41e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
292.0,5.5e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
294.0,4.67e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
296.0,4.09e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
298.0,3.57e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
300.0,3.13e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
302.0,2.74e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
304.0,2.39e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
306.0,2.09e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
308.0,1.83e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
310.0,1.6e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
312.0,1.4e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
314.0,1.22e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
316.0,1.07e-20,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
318.0,9.47e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
