wavelength_nm,quantum_yield,source
250.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
251.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
252.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
253.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
254.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
255.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
256.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
257.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
258.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
259.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
260.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
261.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
262.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
263.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
264.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
265.0,0.44,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
266.0,0.43,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
267.0,0.43,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
268.0,0.43,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
269.0,0.43,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
270.0,0.42,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
271.0,0.42,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
272.0,0.41,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
273.0,0.41,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
274.0,0.4,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
275.0,0.39,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
276.0,0.38,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
277.0,0.37,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
278.0,0.36,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
279.0,0.35,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
280.0,0.34,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
281.0,0.33,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
282.0,0.32,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
283.0,0.31,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
284.0,0.3,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
285.0,0.29,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
286.0,0.29,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
287.0,0.28,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
288.0,0.28,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
289.0,0.28,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
290.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
291.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
292.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
293.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
294.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
295.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
296.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
297.0,0.26,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
298.0,0.26,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
299.0,0.26,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
300.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
301.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
302.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
303.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
304.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
305.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
306.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
307.0,0.28,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
308.0,0.28,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
309.0,0.28,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
310.0,0.29,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
311.0,0.29,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
312.0,0.3,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
313.0,0.31,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
314.0,0.32,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
315.0,0.33,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
316.0,0.34,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
317.0,0.35,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
318.0,0.37,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
319.0,0.39,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
320.0,0.41,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
321.0,0.43,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
322.0,0.45,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
323.0,0.48,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
