wavelength_nm,cross_section_cm2,source
100.05,4.02e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.12,3.78e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.17,3.66e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.28,3.64e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.35,3.48e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.39,3.23e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.4,3.04e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.42,2.82e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.45,2.63e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.46,2.42e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.47,2.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.49,2.06e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.52,1.8e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.54,1.46e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.57,1.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.62,1.12e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.65,1.01e-17,N2O_Nee(1999)_298K_100-212nm.txt
100.68,9.2e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.72,8.61e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.75,8.13e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.77,7.76e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.78,7.44e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.8,7.2e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.82,6.94e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.83,6.76e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.87,6.5e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.9,6.23e-18,N2O_Nee(1999)_298K_100-212nm.txt
100.96,5.9e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.01,5.61e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.03,5.33e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.05,5.08e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.08,4.84e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.14,4.66e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.18,4.85e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.2,5.11e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.22,5.65e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.23,5.98e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.24,6.39e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.25,6.88e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.26,7.32e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.27,8.79e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.27,8.01e-18,N2O_Nee(1999)_298K_100-212nm.txt
101.3,9.57e-18,N2O_Nee(1999)_298K_100-212nm.txt
