wavelength_nm,quantum_yield,source
300.0,1.0,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
350.0,1.0,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
398.0,1.0,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
399.0,0.95,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
400.0,0.88,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
401.0,0.75,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
402.0,0.62,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
403.0,0.53,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
404.0,0.44,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
405.0,0.37,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
406.0,0.3,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
407.0,0.26,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
408.0,0.22,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
409.0,0.18,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
410.0,0.15,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
411.0,0.13,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
412.0,0.11,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
413.0,0.09,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
414.0,0.08,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
415.0,0.06,NO2{NO+O(3P)}_Troe(2000)_298K_300-415nm.txt
