wavelength_nm,cross_section_cm2,source
242.433,5.77e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
245.408,2.79e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
248.457,1.62e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
251.58249999999998,9.98e-21,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
254.78750000000002,1.05e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
258.07500000000005,1.28e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
261.449,1.58e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
264.9125,2.05e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
268.46849999999995,2.64e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
272.12149999999997,3.24e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
275.8755,4.07e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
279.73400000000004,5.21e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
283.702,6.23e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
287.7845,7.59e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
291.9865,9.51e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
296.3125,1.15e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
300.7685,1.32e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
305.361,1.61e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
310.096,1.88e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
315.0,2.16e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
320.0,2.53e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
325.0,2.87e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
330.0,3.17e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
335.0,3.58e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
340.0,4.02e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
345.0,4.18e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
350.0,4.62e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
355.0,4.97e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
360.0,5.09e-19,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
