wavelength_nm,cross_section_cm2,source
50.006314,2.464e-17,O2_Holland(1993)_298K_49-103nm.txt
50.016242,2.449e-17,O2_Holland(1993)_298K_49-103nm.txt
50.026169,2.453e-17,O2_Holland(1993)_298K_49-103nm.txt
50.036093,2.457e-17,O2_Holland(1993)_298K_49-103nm.txt
50.04602,2.474e-17,O2_Holland(1993)_298K_49-103nm.txt
50.055942,2.468e-17,O2_Holland(1993)_298K_49-103nm.txt
50.065869,2.47e-17,O2_Holland(1993)_298K_49-103nm.txt
50.075793,2.457e-17,O2_Holland(1993)_298K_49-103nm.txt
50.085721,2.455e-17,O2_Holland(1993)_298K_49-103nm.txt
50.095648,2.457e-17,O2_Holland(1993)_298K_49-103nm.txt
50.10557,2.463e-17,O2_Holland(1993)_298K_49-103nm.txt
50.115497,2.454e-17,O2_Holland(1993)_298K_49-103nm.txt
50.125421,2.467e-17,O2_Holland(1993)_298K_49-103nm.txt
50.135348,2.478e-17,O2_Holland(1993)_298K_49-103nm.txt
50.145276,2.473e-17,O2_Holland(1993)_298K_49-103nm.txt
50.155197,2.465e-17,O2_Holland(1993)_298K_49-103nm.txt
50.165125,2.467e-17,O2_Holland(1993)_298K_49-103nm.txt
50.175049,2.478e-17,O2_Holland(1993)_298K_49-103nm.txt
50.184976,2.481e-17,O2_Holland(1993)_298K_49-103nm.txt
50.194901,2.466e-17,O2_Holland(1993)_298K_49-103nm.txt
50.204825,2.473e-17,O2_Holland(1993)_298K_49-103nm.txt
50.214752,2.47e-17,O2_Holland(1993)_298K_49-103nm.txt
50.224676,2.463e-17,O2_Holland(1993)_298K_49-103nm.txt
50.234604,2.472e-17,O2_Holland(1993)_298K_49-103nm.txt
50.244528,2.479e-17,O2_Holland(1993)_298K_49-103nm.txt
50.254453,2.472e-17,O2_Holland(1993)_298K_49-103nm.txt
50.264377,2.471e-17,O2_Holland(1993)_298K_49-103nm.txt
50.274304,2.471e-17,O2_Holland(1993)_298K_49-103nm.txt
50.284232,2.485e-17,O2_Holland(1993)_298K_49-103nm.txt
50.294156,2.482e-17,O2_Holland(1993)_298K_49-103nm.txt
50.30408,2.486e-17,O2_Holland(1993)_298K_49-103nm.txt
50.314004,2.478e-17,O2_Holland(1993)_298K_49-103nm.txt
50.323932,2.493e-17,O2_Holland(1993)_298K_49-103nm.txt
