wavelength_nm,quantum_yield,source
220.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
250.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
280.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
290.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
300.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
306.0,0.875,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
307.0,0.844,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
308.0,0.76,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
309.0,0.616,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
310.0,0.443,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
311.0,0.298,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
312.0,0.208,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
313.0,0.162,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
314.0,0.143,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
315.0,0.136,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
316.0,0.133,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
317.0,0.129,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
318.0,0.123,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
319.0,0.116,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
320.0,0.109,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
321.0,0.101,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
322.0,0.095,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
323.0,0.089,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
324.0,0.085,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
325.0,0.082,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
326.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
327.0,0.079,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
328.0,0.078,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
330.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
335.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
340.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.txt
