Year,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,CCl4,CH3CCl3,HCFC-22,HCFC-141b,HCFC-142b,Halon-1211,Halon-1202,Halon-1301,Halon-2402,CH3Br,CH3Cl,HFC-23,CFCs,Halons,HCFCs,CCl4_eesc,CH3CCl3_eesc,CH3Br_eesc,CH3Cl_eesc
1955,3.3,14.3,1.3,1.1,0.0,42.3,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,491.3,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1956,4.3,16.7,1.3,1.4,0.0,44.0,0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.3,495.1,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1957,5.6,19.4,1.4,1.6,0.0,45.9,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,498.8,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1958,6.9,22.6,1.6,1.9,0.0,47.8,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.4,502.6,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1959,8.2,25.9,1.7,2.1,0.0,49.9,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.4,506.4,,15.613000000000001,0.0,0.165,98.56,0.36600000000000005,245.7,217.84400000000002
1960,9.5,29.5,1.9,2.3,0.0,52.1,1.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,6.5,510.3,,18.883999999999997,0.0,0.195,102.816,0.7320000000000001,245.7,219.472
1961,11.1,33.9,2.0,2.6,0.0,54.4,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,6.5,514.2,,22.511,0.0,0.22499999999999998,107.072,1.281,249.60000000000002,221.144
1962,13.3,38.8,2.3,2.8,0.0,56.8,2.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,6.6,517.9,,26.069999999999997,0.0,0.255,111.77600000000001,1.83,249.60000000000002,222.816
1963,16.1,44.4,2.5,3.0,0.0,59.3,3.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,6.6,521.5,,29.863,0.0,0.315,116.70400000000001,2.745,253.5,224.532
1964,19.5,51.1,2.8,3.3,0.0,61.8,3.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,6.7,524.9,,34.398999999999994,0.0,0.36,121.85600000000001,3.66,253.5,226.24800000000002
