,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
day of year,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5
hour of day,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
altitude km,0.019329164,0.051544446,0.09664586,0.15463333,0.22550693,0.30926666,0.40591246,0.51544446,0.63786244,0.7731666,0.9213572,1.0824332,1.256396,1.4432446,1.6429791,1.8555994,2.0811064,2.3194997,2.5707784,2.834944,3.1119957,3.4019327,3.704757,4.0204673,4.349062,4.690544,5.044912,5.412166,5.7923064,6.185333,6.591245,7.0100436,7.4417286,7.8863006,8.343762,8.814107,9.297347,9.793478,10.302522,10.82449,11.359402,11.907294,12.468215,13.042239,13.6294565,14.230015,14.844062,15.471852,16.113665,16.769888,17.440989,18.127571,18.830364,19.550268,20.288403,21.046087,21.82494,22.626879,23.454184,24.309542,25.196136,26.117676,27.078482,28.083563,29.138735,30.250664,31.427011,32.67653,34.009205,35.43639,36.97092,38.627335,40.421974,42.373238,44.50174,46.83054,49.385387,52.194958,55.291096,58.709156,62.488255,66.67163,71.307,76.44687,82.14896
latitude,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625
longitude,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
cloud fraction,0.0,0.0,0.0,0.0,0.0,0.31347656,0.93774414,0.0,0.0715332,0.6154785,0.04663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048828125,0.057617188,0.14892578,0.18530273,0.20019531,0.20581055,0.071777344,0.012451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pressure Pa,98788.86,98413.11,97888.71,97217.33,96401.08,95442.63,94345.34,93112.81,91749.5,90260.24,88656.52,86954.734,85158.09,83264.695,81279.586,79209.8,77061.445,74840.97,72555.74,70214.16,67825.23,65397.5,62938.617,60456.22,57958.414,55452.324,52943.34,50436.906,47939.215,45456.414,42995.227,40563.246,38167.42,35813.74,33508.45,31257.602,29066.244,26939.053,24881.682,22902.791,21013.562,19222.934,17533.643,15947.393,14464.948,13081.834,11793.222,10596.508,9490.507,8473.497,7543.0625,6696.581,5930.6123,5239.6816,4616.538,4054.9636,3550.2458,3098.0544,2693.846,2333.1655,2012.2756,1727.5366,1475.271,1252.0486,1054.6218,880.2949,727.58496,595.9888,484.60962,391.87866,316.23828,255.25195,204.7107,161.21362,123.59668,91.55298,65.00464,43.850586,27.782227,16.434326,8.89502,4.258789,1.8547363,0.7468262,0.2524414
cos SZA rad,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724,0.4366724
up SW flux,21.613525,21.744629,21.89624,22.118713,22.415161,22.772217,23.190613,108.69318,140.18701,140.44519,228.28809,268.6482,268.45288,268.3509,268.2577,268.21167,268.24927,268.37134,268.54413,268.77356,269.08704,269.47876,269.93396,270.4314,270.977,271.57123,272.1994,272.84003,273.48633,274.13715,274.79095,275.44482,276.09552,276.73987,277.3775,278.01086,278.6501,279.45184,280.16333,281.0274,281.6491,282.24597,282.8169,283.36,283.86816,284.3448,284.7912,285.1927,285.54053,285.84155,286.12628,286.38446,286.56757,286.67902,286.73645,286.75403,286.7378,286.6751,286.58966,286.48444,286.37964,286.28186,286.19586,286.11877,286.04895,285.9826,285.9151,285.84808,285.77954,285.71692,285.66644,285.63953,285.63348,285.6338,285.6353,285.63885,285.64343,285.64874,285.6541,285.659,285.66296,285.66583,285.6676,285.6684,285.66876
down SW flux,191.45032,191.76208,192.30194,193.05786,194.02539,195.20496,196.60889,285.3576,321.45703,324.75708,430.8498,475.4016,478.65863,481.74103,485.42963,489.54352,493.74585,497.85657,502.08868,506.4973,510.89008,515.20667,519.5387,524.06384,528.37616,531.9687,534.8061,537.3492,539.7243,541.9314,544.00885,546.0673,548.226,550.7583,553.70044,556.85345,559.8799,562.7799,565.23846,567.63965,569.5985,571.4204,572.94574,574.2425,575.327,576.3046,577.2175,578.1374,579.0917,580.0601,580.96454,581.82324,582.7457,583.72375,584.72614,585.7272,586.7308,587.7732,588.81213,589.84674,590.8349,591.7599,592.6212,593.43225,594.19904,594.9454,595.7083,596.50037,597.3655,598.28735,599.2449,600.141,600.87866,601.5767,602.3118,603.01184,603.65,604.16113,604.5198,604.73816,604.8419,604.89404,604.91516,604.92786,604.9353
