wavelength_nm,toa_photon_flux_per_s_cm2_nm,surface_photon_flux_per_s_cm2_nm
280.0,11558331639078.062,6.668452579428586e-09
280.5,13979490002237.729,1.7378341763387847e-07
281.0,21218801332192.523,8.048291345300624e-07
281.5,30042600851781.383,2.2194679931160384e-05
282.0,37903877283656.086,0.00016958790937473989
282.5,43090779289023.71,0.0006461625900251093
283.0,46301287129974.086,0.0026287733849916363
283.5,46097657114816.98,0.005046480357832595
284.0,42747704244945.67,0.10389550727358536
284.5,35839527034570.71,0.3559891639910844
285.0,25235346747354.984,1.1498158843746225
285.5,22277224340518.38,6.124512005306514
286.0,34842127587276.598,19.701639417532768
286.5,48027737406812.85,120.8957667462845
287.0,52301450666828.234,395.39607745831165
287.5,49063758596413.14,1578.0004719076474
288.0,45089575272166.55,9037.777664762207
288.5,47201135466422.336,24925.104211530466
289.0,57030499770377.86,81857.68034643648
289.5,69808346147943.13,302391.1010905369
290.0,82192021198269.83,878388.9043441383
290.5,88622098289992.12,2015640.892295316
291.0,90532545527374.58,5134865.3492322555
291.5,87753209770434.25,16014227.060614534
292.0,83346847538864.12,39439081.4720939
292.5,77894144178730.25,62852770.21302647
293.0,79354793100802.77,127537017.47684036
293.5,81115475370300.83,335498925.1791295
294.0,78885613436707.78,617823836.2667785
294.5,77092461115349.06,977161770.1103408
295.0,78262893217302.75,1825144132.145447
295.5,83155802815125.88,4139344130.829504
296.0,85382644278778.39,7138167873.526352
296.5,77765270794601.16,10649065729.061073
297.0,71467339262776.83,14472883767.022589
297.5,79225668010845.3,27868265223.928337
298.0,79208803720344.02,43486833375.85857
298.5,70325601625258.16,53779550353.98213
299.0,71045480294416.77,74072439211.19795
299.5,75536667390149.98,129766265248.21216
300.0,69159700228215.27,154119478715.32007
300.5,65502162836067.1,188337627554.04977
301.0,70156958720245.47,292446933758.2586
301.5,72483395146070.25,408496963096.0161
302.0,68261613832565.65,444065362680.49225
302.5,77359269293428.81,652376200104.4272
303.0,93350643981884.98,1082150561649.482
303.5,98699392834899.14,1371936838948.8804
304.0,95036066208698.3,1449277054111.101
304.5,95958819775528.86,1832261617854.4673
305.0,98573036509053.81,2527738162069.397
