series,year,emissions (million tonnes)
Non Methane VOC,1970,2.414046842540469
Non Methane VOC,1971,2.419438981134904
Non Methane VOC,1972,2.3655041497255125
Non Methane VOC,1973,2.498758303267438
Non Methane VOC,1974,2.404262436153849
Non Methane VOC,1975,2.360461849175022
Non Methane VOC,1976,2.416465242905739
Non Methane VOC,1977,2.4916703925442003
Non Methane VOC,1978,2.5323966357417684
Non Methane VOC,1979,2.5993764570152735
Non Methane VOC,1980,2.5273773270017283
Non Methane VOC,1981,2.48505451373086
Non Methane VOC,1982,2.503082251705945
Non Methane VOC,1983,2.5020155731551488
Non Methane VOC,1984,2.3431099317490127
Non Methane VOC,1985,2.514538004992176
Non Methane VOC,1986,2.609843355483406
Non Methane VOC,1987,2.6535219769517875
Non Methane VOC,1988,2.714814555692226
Non Methane VOC,1989,2.758851498863818
Non Methane VOC,1990,2.7956991134479248
Non Methane VOC,1991,2.76002368379756
Non Methane VOC,1992,2.6651964681728297
Non Methane VOC,1993,2.549640029646149
Non Methane VOC,1994,2.430363980598369
Non Methane VOC,1995,2.320507999731861
Non Methane VOC,1996,2.2613859488766845
Non Methane VOC,1997,2.1660484160319955
Non Methane VOC,1998,2.070227926879652
Non Methane VOC,1999,1.8627705446577179
Non Methane VOC,2000,1.7308923709878554
Non Methane VOC,2001,1.6272203351336214
Non Methane VOC,2002,1.5137845561797791
Non Methane VOC,2003,1.4405043046200068
Non Methane VOC,2004,1.3382387117266399
Non Methane VOC,2005,1.2556293344661815
Non Methane VOC,2006,1.2015940341934646
Non Methane VOC,2007,1.1591583611900032
Non Methane VOC,2008,1.071514345138669
Non Methane VOC,2009,0.9679492893751988
Non Methane VOC,2010,0.9399200479912665
Non Methane VOC,2011,0.9118779355389738
Non Methane VOC,2012,0.8966253893271446
Non Methane VOC,2013,0.867497556307119
Non Methane VOC,2014,0.8457473180031433
Non Methane VOC,2015,0.8421793563437642
Non Methane VOC,2016,0.8275046659193467
Non Methane VOC,2017,0.8376366972276688
Non Methane VOC,2018,0.8570481340564495
Non Methane VOC,2019,0.8399465125674208
Non Methane VOC,2020,0.8086491394483776
Non Methane VOC,2021,0.7933705076310288
Non Methane VOC,2022,0.7611142635024024
Non Methane VOC,2023,0.7614806147027924
Non Methane VOC,2024,0.7476068233840063
Non Methane VOC NECR,1970,2.308334600960879
Non Methane VOC NECR,1971,2.3126817170706198
Non Methane VOC NECR,1972,2.254978233723531
Non Methane VOC NECR,1973,2.3821249282961925
Non Methane VOC NECR,1974,2.2844258637607604
Non Methane VOC NECR,1975,2.245043444074951
Non Methane VOC NECR,1976,2.302974383490351
Non Methane VOC NECR,1977,2.3806309841244424
Non Methane VOC NECR,1978,2.421777469806274
Non Methane VOC NECR,1979,2.489416857948144
Non Methane VOC NECR,1980,2.418214126943645
Non Methane VOC NECR,1981,2.377829071720017
Non Methane VOC NECR,1982,2.394536881757123
Non Methane VOC NECR,1983,2.394078702671457
Non Methane VOC NECR,1984,2.235800370478445
Non Methane VOC NECR,1985,2.4086139669798676
Non Methane VOC NECR,1986,2.50566536923111
Non Methane VOC NECR,1987,2.549846069627004
Non Methane VOC NECR,1988,2.612204094356168
Non Methane VOC NECR,1989,2.6574692949953684
Non Methane VOC NECR,1990,2.678600439088838
Non Methane VOC NECR,1991,2.6431113469671677
Non Methane VOC NECR,1992,2.549957650462764
Non Methane VOC NECR,1993,2.4321188834961633
Non Methane VOC NECR,1994,2.3129505104035095
Non Methane VOC NECR,1995,2.2054819378957875
Non Methane VOC NECR,1996,2.1413602762388346
Non Methane VOC NECR,1997,2.0392122285281875
Non Methane VOC NECR,1998,1.9467881234266233
Non Methane VOC NECR,1999,1.7373080515212649
Non Methane VOC NECR,2000,1.610618838968109
Non Methane VOC NECR,2001,1.508417602096021
Non Methane VOC NECR,2002,1.3982138699473965
Non Methane VOC NECR,2003,1.3231076324106308
Non Methane VOC NECR,2004,1.217458985220556
Non Methane VOC NECR,2005,1.1374341874761476
Non Methane VOC NECR,2006,1.0850700790432282
Non Methane VOC NECR,2007,1.042808791407963
Non Methane VOC NECR,2008,0.9557571986123842
Non Methane VOC NECR,2009,0.8528559083948419
Non Methane VOC NECR,2010,0.8232803327671128
Non Methane VOC NECR,2011,0.7968179421040287
Non Methane VOC NECR,2012,0.7806754670147436
Non Methane VOC NECR,2013,0.7501451534967971
Non Methane VOC NECR,2014,0.7234964122172735
Non Methane VOC NECR,2015,0.7196182121744041
Non Methane VOC NECR,2016,0.702309824468244
Non Methane VOC NECR,2017,0.705657296594161
Non Methane VOC NECR,2018,0.7241963827780051
Non Methane VOC NECR,2019,0.7076907177841326
Non Methane VOC NECR,2020,0.677870386369538
Non Methane VOC NECR,2021,0.6591648387575236
Non Methane VOC NECR,2022,0.6282395516731409
Non Methane VOC NECR,2023,0.6336004111146702
Non Methane VOC NECR,2024,0.623441712303826
erc_2020-2029,2020,0.7734552474837804
erc_2020-2029,2021,0.7734552474837804
erc_2020-2029,2022,0.7734552474837804
erc_2020-2029,2023,0.7734552474837804
erc_2020-2029,2024,0.7734552474837804
erc_2020-2029,2025,0.7734552474837804
erc_2020-2029,2026,0.7734552474837804
erc_2020-2029,2027,0.7734552474837804
erc_2020-2029,2028,0.7734552474837804
erc_2020-2029,2029,0.7734552474837804
clrtap_2020-2029,2020,0.8538279474370035
clrtap_2020-2029,2021,0.8538279474370035
clrtap_2020-2029,2022,0.8538279474370035
clrtap_2020-2029,2023,0.8538279474370035
clrtap_2020-2029,2024,0.8538279474370035
clrtap_2020-2029,2025,0.8538279474370035
clrtap_2020-2029,2026,0.8538279474370035
clrtap_2020-2029,2027,0.8538279474370035
clrtap_2020-2029,2028,0.8538279474370035
clrtap_2020-2029,2029,0.8538279474370035
