source,year,emissions (million tonnes)
Total,1990,2.7956991134479248
Total,2005,1.2556293344661813
Total,2023,0.7614806147027924
Total,2024,0.7476068233840063
Domestic solvent use,1990,0.1541761618393625
Domestic solvent use,2005,0.1593093011999441
Domestic solvent use,2023,0.1731660413667711
Domestic solvent use,2024,0.1711325098247687
Food and beverages production,1990,0.08232609265813955
Food and beverages production,2005,0.08580961569029931
Food and beverages production,2023,0.12201934923349361
Food and beverages production,2024,0.12609178482415512
Agriculture,1990,0.12072547660166998
Agriculture,2005,0.11819514699003389
Agriculture,2023,0.12788020358812216
Agriculture,2024,0.12416511108018026
Fugitive emissions,1990,0.6241991010765984
Fugitive emissions,2005,0.2740927659549137
Fugitive emissions,2023,0.09326164962053207
Fugitive emissions,2024,0.08750825813342468
Other industrial processes,1990,0.43850210006042045
Other industrial processes,2005,0.1448238034641247
Other industrial processes,2023,0.0810092367526059
Other industrial processes,2024,0.0781674600288435
Coating applications,1990,0.25045222188171823
Coating applications,2005,0.1265982282201286
Coating applications,2023,0.05306748354749662
Coating applications,2024,0.05323403549730102
Other,1990,1.1253179593300158
Other,2005,0.34680047294673705
Other,2023,0.1110766505937709
Other,2024,0.10730766399533297
